perm 132
28240
28232
28224
27250
27226
27218
27210
27202
27224
27216
27208
27200
20218
24282
20186
24266
20170
24280
20184
24264
20168
19194
23258
19162
23242
19146
23256
19160
23240
19144
20210
24274
20178
24258
20162
24272
20176
24256
20160
19186
23250
19154
23234
19138
23248
19152
23232
19136
20090
20074
20088
20072
19066
19050
19064
19048
20082
24154
24146
20058
20050
24138
24130
20042
20034
24152
24144
20056
20048
24136
24128
20040
20032
19058
23130
23122
19034
19026
23114
23106
19018
19010
23128
23120
19032
19024
23112
23104
19016
19008
24570
24554
24552
23546
23530
23528
24562
24546
24544
23538
23522
23520
24434
24418
24416
23410
23394
23392
24442
24426
24440
24424
23418
23402
23416
23400
31738
31688
31706
31690
31730
31680
31698
31682
32634
32618
32632
32616
31610
31594
31608
31592
32626
32576
32600
32584
32602
32586
32594
32578
31602
31552
31576
31560
31578
31562
31570
31554
24574
24558
24556
23550
23534
23532
24566
24550
24548
23542
23526
23524
24438
24422
24420
23414
23398
23396
24446
24444
24430
24428
23422
23420
23406
23404
31734
31684
31702
31686
31742
31711
31703
31707
31699
27615
27607
27611
27603
31455
31447
31451
31443
27359
27351
27355
27347
31710
31689
31681
31685
31692
31687
31691
31683
27609
27593
27601
27585
27605
27589
27595
27587
27613
27597
27591
31449
31433
31441
31425
31445
31429
31435
31427
31453
31437
31431
27353
27337
27345
27329
27349
27333
27339
27331
27357
27341
27335
32638
32636
32620
31614
31612
31596
32630
32607
32599
32603
32595
28511
28503
28507
28499
32351
32343
32347
32339
28255
28247
28251
28243
32606
32598
32601
32585
32577
32604
32588
32580
32587
32579
28505
28489
28497
28481
28509
28491
28483
28501
28493
28485
32345
32329
32337
32321
32349
32331
32323
32341
32333
32325
28249
28233
28241
28225
28253
28235
28227
28245
28237
28229
31606
31583
31575
31579
31571
27487
27479
27483
27475
31327
31319
31323
31315
27231
27223
27227
27219
31582
31574
31577
31561
31553
31580
31564
31556
31563
31555
27481
27465
27473
27457
27485
27467
27459
27477
27469
27461
31321
31305
31313
31297
31325
31307
31299
31317
31309
31301
27225
27209
27217
27201
27229
27211
27203
27221
27213
27205
27642
27610
27594
27608
27592
27634
27602
27586
27600
27584
28538
28522
28536
28520
27514
27498
27512
27496
28530
28506
28498
28490
28482
28504
28488
28496
28480
27506
27482
27474
27466
27458
27480
27464
27472
27456
20474
24520
20424
24538
20442
24522
20426
19450
23496
19400
23514
19418
23498
19402
20466
24512
20416
24530
20434
24514
20418
19442
23488
19392
23506
19410
23490
19394
20346
20330
20344
20328
19322
19306
19320
19304
20338
24384
20288
24408
24392
20312
20296
24410
24394
20314
20298
24402
24386
20306
20290
19314
23360
19264
23384
23368
19288
19272
23386
23370
19290
19274
23378
23362
19282
19266
27646
27596
27614
27612
27638
27606
27590
27604
27588
28542
28540
28524
27518
27516
27500
28534
28492
28484
28510
28502
28508
28500
27510
27468
27460
27486
27478
27484
27476
20470
24516
20420
24534
20438
24518
20422
19446
23492
19396
23510
19414
23494
19398
20478
24543
24535
24539
24531
20447
20439
20443
20435
24287
24279
24283
24275
20191
20183
20187
20179
24542
20446
20425
20417
20421
20428
20423
20427
20419
24521
24513
24517
24523
24515
24524
24526
24519
20185
20169
20177
20161
20181
20165
20171
20163
20189
20173
20167
24281
24265
24273
24257
24277
24261
24267
24259
24285
24269
24271
24263
19454
23519
23511
23515
23507
19423
19415
19419
19411
23263
23255
23259
23251
19167
19159
19163
19155
23518
19422
19401
19393
19397
19404
19399
19403
19395
23497
23489
23493
23499
23491
23500
23502
23495
19161
19145
19153
19137
19157
19141
19147
19139
19165
19149
19143
23257
23241
23249
23233
23253
23237
23243
23235
23261
23245
23247
23239
20350
20348
20332
19326
19324
19308
20342
24415
24407
24411
24403
20319
20311
20315
20307
24159
24151
24155
24147
20063
20055
20059
20051
24414
24406
20318
20310
20313
20297
20289
20316
20300
20292
20299
20291
24409
24393
24385
24412
24395
24387
24398
24390
24396
24388
20057
20041
20049
20033
20061
20043
20035
20053
20045
20037
24153
24137
24145
24129
24157
24139
24131
24149
24143
24135
24141
24133
19318
23391
23383
23387
23379
19295
19287
19291
19283
23135
23127
23131
23123
19039
19031
19035
19027
23390
23382
19294
19286
19289
19273
19265
19292
19276
19268
19275
19267
23385
23369
23361
23388
23371
23363
23374
23366
23372
23364
19033
19017
19025
19009
19037
19019
19011
19029
19021
19013
23129
23113
23121
23105
23133
23115
23107
23125
23119
23111
23117
23109
28158
28142
28156
28140
28150
28134
28148
28132
28154
28138
28152
28136
12286
12278
12282
12274
12248
12232
12240
12224
12244
12228
12254
12246
12250
12242
12234
12226
12230
12252
12236
28146
11774
11766
11770
11762
11768
11752
28144
28128
11760
11744
11764
11748
28130
11754
11746
11750
11758
11772
11756
32254
32238
32236
32246
32230
32228
32250
32234
32232
32242
15870
15862
15866
15858
15848
32224
15840
15844
32226
15850
15842
15846
15854
15852
16382
16374
16378
16370
16328
16320
16324
16346
16330
16338
16322
16342
16326
16351
16343
16347
16339
12255
12247
12251
12243
16095
16087
16091
16083
11999
11991
11995
11987
16350
16329
16321
16325
16332
16327
16331
16323
12249
12233
12241
12225
12245
12229
12235
12227
12253
12237
12231
16089
16073
16081
16065
16085
16069
16075
16067
16093
16077
16071
11993
11977
11985
11969
11989
11973
11979
11971
11997
11981
11975
27902
27852
28110
28108
28126
27870
28124
27868
27894
28118
27862
28102
27846
28116
27860
28100
27844
27898
28122
27866
28106
27850
28120
27864
28104
27848
12030
12022
12026
12018
11992
11976
11984
11968
11988
11972
11998
11990
11994
11986
11978
11970
11974
11996
11980
27890
11518
11510
11514
11506
11736
11720
11480
11464
28112
27856
28096
27840
11728
11712
11472
11456
11732
11716
11476
11460
28114
27858
28098
27842
11742
11734
11486
11478
11738
11730
11482
11474
11722
11714
11466
11458
11462
11484
11468
11718
11740
11726
11724
31990
32196
31940
32214
31958
32198
31942
31998
32223
32215
32219
32211
28127
28119
28123
28115
31967
31959
31963
31955
27871
27863
27867
27859
32222
31966
31945
31937
31941
31948
31943
31947
31939
27865
27849
27857
27841
27861
27845
27851
27843
27869
27853
27847
32201
32193
32197
32203
32195
32204
32206
32199
28121
28105
28113
28097
28117
28101
28107
28099
28111
28103
28125
28109
31994
32200
31944
32218
31962
32202
31946
16126
16118
16122
16114
16088
16072
16080
16064
16084
16068
16094
16086
16090
16082
16074
16066
16070
16092
16076
31986
15614
15606
15610
15602
15816
15560
32192
31936
15808
15552
15812
15556
32210
31954
32194
31938
15834
15578
15818
15562
15826
15570
15810
15554
15830
15574
15814
15558
15839
15831
15835
15827
11743
11735
11739
11731
15583
15575
15579
15571
11487
11479
11483
11475
15838
15582
15561
15553
15557
15564
15559
15563
15555
11481
11465
11473
11457
11477
11461
11467
11459
11485
11469
11463
15817
15809
15813
15819
15811
15820
15822
15815
11737
11721
11729
11713
11733
11717
11723
11715
11727
11719
11741
11725
23038
23030
23012
23020
23022
23014
22910
22902
22908
22894
22886
22892
22884
31230
31222
31204
31212
31214
31206
32126
32124
32110
32108
32118
32102
32100
31102
31094
31100
31086
31078
31084
31076
24058
24050
23034
23026
6654
6646
7674
6650
7666
6642
23016
6632
23008
6624
7140
6628
24042
24034
23018
23010
6630
6636
6638
7148
7658
6634
7650
6626
23930
22906
23922
22898
6526
6518
7546
6522
7538
6514
22904
6520
22888
22880
6504
6496
7036
6524
23914
22890
23906
22882
7530
6506
7522
6498
6508
6510
7020
6500
6502
7012
31226
31218
14846
14838
14842
14834
31208
14824
31200
14816
15300
14820
31210
31202
15322
14826
15314
14818
15318
14822
14828
15327
15319
15323
15315
11231
11223
11227
11219
15071
15063
15067
15059
10975
10967
10971
10963
15326
15305
15297
15301
15308
15303
15307
15299
11225
11209
11217
11201
11221
11205
11211
11203
11229
11213
11207
15065
15049
15057
15041
15061
15045
15051
15043
15069
15053
15047
10969
10953
10961
10945
10965
10949
10955
10947
10973
10957
10951
32122
32106
32120
32104
31098
31090
14718
14710
14714
14706
31096
14712
31080
31072
14688
14696
15192
15176
15228
14716
31082
31074
15186
14690
14698
15194
15178
14702
14700
14692
15199
15191
15195
15187
11103
11095
11099
11091
14943
14935
14939
14931
10847
10839
10843
10835
15198
15190
15193
15177
15169
15196
15180
15172
15179
15171
11097
11081
11089
11073
11101
11083
11075
11093
11085
11077
14937
14921
14929
14913
14941
14923
14915
14933
14925
14917
10841
10825
10833
10817
10845
10827
10819
10837
10829
10821
32114
16254
15742
16246
15734
16250
15738
16242
15730
16248
15736
32096
16192
15712
16232
15720
16216
16200
16252
15740
32098
15714
16210
16194
16234
15722
16218
16202
16236
15726
15724
15718
15716
16223
16215
16219
16211
12127
12119
12123
12115
15967
15959
15963
15955
11871
11863
11867
11859
16222
16214
16217
16201
16193
16220
16204
16196
16203
16195
12121
12105
12113
12097
12125
12107
12099
12117
12109
12101
15961
15945
15953
15937
15965
15947
15939
15957
15949
15941
11865
11849
11857
11841
11869
11851
11843
11861
11853
11845
18942
18934
18916
18924
18926
18918
18814
18806
18812
18798
18790
18796
18788
27134
27126
27124
27108
27118
27110
27132
27116
28030
28028
28014
28012
28022
28006
28020
28004
27006
26998
27004
26990
26982
26996
26988
26980
27130
27122
10750
10742
10746
10738
27128
27112
10744
10728
27120
27104
10736
10720
11220
11204
10740
10724
27114
27106
11230
11222
11226
11218
10730
10722
10726
11228
11212
10748
10732
28026
28010
28024
28008
27002
26994
10622
10614
10618
10610
27000
10616
26984
26992
26976
10608
10592
10600
11096
11080
11132
10620
26986
26978
11102
11094
11098
11090
10594
10602
11082
10606
10604
10612
10596
11100
11092
11084
11076
28018
12158
11646
12150
11638
12154
11642
12146
11634
12152
11640
28016
28000
12136
11624
12120
12104
12112
12096
11632
11616
12156
11644
28002
12126
12118
12122
12114
12098
11618
12106
12138
11626
12140
11630
11628
11622
11636
11620
12124
12108
12116
12100
19962
19954
18938
18930
2558
2550
3578
2554
3570
2546
18920
7112
2536
18912
7104
2528
2532
7108
3012
19946
18922
19938
18914
8154
4058
8138
3562
7130
3034
7114
2538
8146
4050
8130
3554
7122
3026
7106
2530
7126
3030
7110
2534
2540
7135
7127
8155
8147
7131
7123
3039
3031
4059
4051
3035
3027
2783
2775
3803
3795
2779
2771
7903
7895
7899
7891
6879
6871
6875
6867
7134
3038
3017
3009
3013
3020
3015
4043
3019
4035
3011
7113
7105
7109
7116
7118
7111
8139
8131
7115
7107
2777
2761
2769
2753
2773
2757
2781
2765
2759
3787
3779
2763
2755
7897
7881
7889
7873
6873
6857
6865
6849
7893
7877
7883
7875
7901
7885
7887
7879
6869
6853
6859
6851
6877
6861
6863
6855
19834
18810
19826
18802
2430
2422
3450
2426
3442
2418
18808
2424
18792
18784
6976
2400
2408
7000
6984
2904
2888
2940
2428
19818
18794
19810
18786
8018
6994
8002
6978
3922
2898
3426
2402
3434
2410
8026
8010
3930
3914
7002
6986
2906
2890
2414
2412
2404
7007
6999
8027
8019
7003
6995
2911
2903
3931
3923
2907
2899
2655
2647
3675
3667
2651
2643
7775
7767
7771
7763
6751
6743
6747
6739
7006
6998
2910
2902
2905
2889
2881
2908
2892
2884
3915
2891
3907
2883
7001
6985
6977
7004
6990
6982
6988
6980
8011
8003
6987
6979
2649
2633
2641
2625
2653
2645
2637
2629
3659
2635
3651
2627
7769
6745
7753
7761
7745
6729
6737
6721
7773
6749
7755
7747
7765
7759
7751
7757
7749
6731
6723
6741
6735
6727
6733
6725
23806
23798
22782
22774
23790
23782
23788
23780
22766
22758
22764
22756
23678
22654
23670
22646
23662
22638
23654
22630
23652
22628
23676
22652
23660
22636
30974
30966
31172
30916
31190
30934
31174
30918
31199
31191
31195
31187
27103
27095
27099
27091
30943
30935
30939
30931
26847
26839
26843
26835
31198
30942
30921
30913
30917
30924
30919
30923
30915
26841
26825
26833
26817
26837
26821
26827
26819
26845
26829
26823
31177
31169
31173
31179
31171
31180
31182
31175
27097
27081
27089
27073
27093
27077
27083
27075
27087
27079
27101
27085
31870
31868
31852
31862
32095
32087
32091
32083
27999
27991
27995
27987
31839
31831
31835
31827
27743
27735
27739
27731
32094
32086
31838
31830
31833
31817
31809
31836
31820
31812
31819
31811
27737
27721
27729
27713
27741
27723
27715
27733
27725
27717
32089
32073
32065
32092
32075
32067
32078
32070
32076
32068
27993
27977
27985
27969
27997
27979
27971
27983
27975
27989
27981
27973
30846
30838
30844
30828
31071
31063
31067
31059
26975
26967
26971
26963
30815
30807
30811
30803
26719
26711
26715
26707
31070
31062
30814
30806
30785
30809
30793
30812
30796
30788
30795
30787
26713
26697
26705
26689
26717
26699
26691
26709
26701
26693
31065
31049
31041
31068
31051
31043
31054
31046
31052
31044
26969
26953
26961
26945
26973
26955
26947
26959
26951
26965
26957
26949
7934
7926
7930
7922
6910
6902
6906
6898
23802
23794
7422
7414
7418
7410
22778
22770
6398
6390
6394
6386
7928
7912
7920
7904
6904
6888
6896
6880
23784
23776
7400
7392
22760
22752
6376
6368
7914
7906
7932
7918
7916
7924
7910
7908
6890
6882
6908
6894
6892
6900
6886
6884
23786
23778
7402
7394
7406
7404
7398
7396
22762
22754
6378
6370
6382
6380
6374
6372
7806
6782
7798
6774
7802
6778
7794
6770
23674
22650
23666
22642
7294
6270
7286
6262
7290
6266
7282
6258
7800
6776
7784
6760
7792
7776
6768
6752
23648
22624
23672
22648
23656
22632
7264
6240
7288
6264
7272
6248
7786
6762
7778
6754
7804
6780
7790
6766
7788
6764
7796
6772
7782
6758
7780
6756
23658
22634
23650
22626
7274
6250
7266
6242
7270
6246
7268
6244
7278
6254
7292
6268
7276
6252
15102
15094
15098
15090
30970
30962
14590
14582
14586
14578
15064
15048
15056
15040
31176
30920
31168
30912
14792
14536
14784
14528
15070
15062
15066
15058
15050
15042
15068
15052
15060
15046
15044
31194
30938
31178
30922
31186
30930
31170
30914
14810
14794
14554
14538
14802
14786
14546
14530
14788
14532
14806
14550
14790
14534
14815
14807
14811
14803
10719
10711
10715
10707
14559
14551
14555
14547
10463
10455
10459
10451
14814
14558
14537
14529
14533
14540
14535
14539
14531
10457
10441
10449
10433
10453
10437
10443
10435
10461
10445
10439
14793
14785
14789
14795
14787
14796
14798
14791
10713
10697
10705
10689
10709
10693
10699
10691
10703
10695
10717
10701
31866
31850
31864
31848
15998
15990
15994
15986
31858
15486
15478
15482
15474
15992
15480
15952
15936
15976
15960
15944
32064
31808
32088
32072
31832
31816
15680
15424
15704
15688
15464
15448
15432
15996
15484
15966
15958
15962
15954
15938
15978
15946
15980
15964
15948
15956
15940
32090
32074
31834
31818
32082
32066
31826
31810
15698
15682
15442
15426
15706
15690
15466
15450
15434
15468
15711
15703
15707
15699
11615
11607
11611
11603
15455
15447
15451
15443
11359
11351
11355
11347
15710
15702
15454
15446
15449
15433
15425
15452
15436
15428
15435
15427
11353
11337
11345
11329
11357
11339
11331
11349
11341
11333
15705
15689
15681
15708
15691
15683
15694
15686
15692
15684
11609
11593
11601
11585
11613
11595
11587
11599
11591
11605
11597
11589
14974
14966
14970
14962
30842
30834
14462
14454
14458
14450
14928
14912
14968
14952
14936
14920
31040
30784
31064
31048
30840
30824
30808
30792
14656
14400
14680
14664
14456
14440
14424
14408
14942
14934
14938
14930
14914
14954
14922
14972
14956
14940
14932
14924
14916
31058
31042
30802
30786
31066
31050
30826
30810
30794
14674
14658
14418
14402
14682
14666
14442
14426
14410
14460
14444
14687
14679
14683
14675
10591
10583
10587
10579
14431
14423
14427
14419
10335
10327
10331
10323
14686
14678
14430
14422
14401
14425
14409
14428
14412
14404
14411
14403
10329
10313
10321
10305
10333
10315
10307
10325
10317
10309
14681
14665
14657
14684
14667
14659
14670
14662
14668
14660
10585
10569
10577
10561
10589
10571
10563
10575
10567
10581
10573
10565
26878
26870
26828
26822
26820
27086
27084
27078
27076
27102
27094
26846
26838
27100
27092
26844
26836
27774
27772
27756
27766
27724
27716
27982
27980
27974
27972
27998
27990
27742
27734
27996
27988
27740
27732
26750
26742
26732
26700
26692
26958
26950
26956
26948
26974
26966
26718
26710
26972
26964
26748
26716
26708
18686
18678
22980
18884
18628
23748
22724
22998
18902
18646
23766
22742
22982
18886
18630
23750
22726
23007
22999
24027
24019
23003
22995
18911
18903
19931
19923
18907
18899
18655
18647
19675
19667
18651
18643
23775
23767
23771
23763
22751
22743
22747
22739
23006
18910
18654
23774
22750
22985
22977
22981
22988
22990
22983
24011
24003
22987
22979
18889
18881
18885
18892
18894
18887
19915
18891
19907
18883
18633
18625
18629
18636
18631
19659
19651
18635
18627
23753
23745
22729
22721
23749
23755
23747
23756
23758
23751
22725
22731
22723
22732
22734
22727
18558
18550
18556
18540
22879
22871
23899
23891
22875
22867
18783
18775
19803
19795
18779
18771
18527
18519
19547
19539
18523
18515
23647
23639
23643
23635
22623
22615
22619
22611
22878
22870
18782
18774
18526
18518
23646
22622
23638
22614
22873
22857
22849
22876
22862
22854
22860
22852
23883
23875
22859
22851
18777
18761
18753
18780
18766
18758
18764
18756
19787
18763
19779
18755
18521
18505
18497
18524
18508
18500
19531
18507
19523
18499
23641
22617
23625
23617
22601
22593
23644
22620
23627
23619
23630
23622
23628
23620
22603
22595
22606
22598
22604
22596
26874
26866
10494
10486
10490
10482
27096
27080
27088
27072
26840
26824
26832
26816
10712
10696
10704
10688
10456
10440
10448
10432
27098
27090
26842
26834
27082
27074
26826
